facility_id,facility_name,zone_name,equipment_type,equipment_id,capacity,location_x,location_y,zone_type,peak_hours,maintenance_schedule
1,gym_main,yoga_studio,yoga_mats,101,20,10,15,class_area,18:00-20:00,weekly
1,gym_main,spin_studio,spin_bikes,102,25,15,20,class_area,12:00-14:00,daily
1,gym_main,cardio_zone,treadmill,103,15,5,10,fitness_equipment,06:00-08:00,weekly
1,gym_main,weight_room,dumbbells,104,30,20,25,fitness_equipment,18:00-21:00,daily
1,gym_main,pool_area,pool_lanes,105,8,25,30,aquatic,07:00-09:00,monthly
1,gym_main,functional_training,functional_equipment,106,12,30,15,fitness_equipment,19:00-21:00,weekly
1,gym_main,pilates_studio,pilates_equipment,107,16,35,20,class_area,10:00-12:00,daily
1,gym_main,boxing_area,boxing_equipment,108,10,40,25,specialty,20:00-22:00,weekly
1,gym_main,locker_rooms,lockers,109,50,0,0,amenity,all_day,daily
1,gym_main,reception,front_desk,110,5,0,5,service,all_day,weekly
2,gym_branch_a,yoga_studio,yoga_mats,201,15,8,12,class_area,18:00-20:00,weekly
2,gym_branch_a,cardio_zone,treadmill,202,10,3,8,fitness_equipment,06:00-08:00,weekly
2,gym_branch_a,weight_room,dumbbells,203,20,15,20,fitness_equipment,18:00-21:00,daily
2,gym_branch_a,functional_training,functional_equipment,204,8,25,15,fitness_equipment,19:00-21:00,weekly
2,gym_branch_a,locker_rooms,lockers,205,30,0,0,amenity,all_day,daily
2,gym_branch_a,reception,front_desk,206,3,0,3,service,all_day,weekly
3,gym_branch_b,spin_studio,spin_bikes,301,20,12,18,class_area,12:00-14:00,daily
3,gym_branch_b,cardio_zone,treadmill,302,12,4,10,fitness_equipment,06:00-08:00,weekly
3,gym_branch_b,weight_room,dumbbells,303,25,18,22,fitness_equipment,18:00-21:00,daily
3,gym_branch_b,pilates_studio,pilates_equipment,304,12,28,18,class_area,10:00-12:00,daily
3,gym_branch_b,locker_rooms,lockers,305,25,0,0,amenity,all_day,daily
3,gym_branch_b,reception,front_desk,306,2,0,2,service,all_day,weekly
