id,member_id,feedback_type,rating,feedback_text,sentiment_score,timestamp,coach_id,session_id,package_id
1,101,class_review,5,"Amazing HIIT class! The energy was incredible and I burned so many calories. Coach Sarah really pushed us to our limits in the best way possible.",0.9,2024-01-15 10:30:00,201,1001,301
2,102,class_review,4,"Great yoga session today. Very relaxing and helped with my flexibility. Would have given 5 stars but the room was a bit warm.",0.7,2024-01-15 14:20:00,202,1002,302
3,103,class_review,2,"The strength training class was too advanced for beginners. I felt lost and couldn't keep up. Coach Mike didn't provide enough modifications.",0.3,2024-01-15 16:45:00,203,1003,301
4,104,class_review,5,"Best spin class ever! The music was perfect and the workout was challenging but fun. Can't wait for the next one!",0.9,2024-01-16 09:15:00,204,1004,303
5,105,class_review,3,"The Pilates class was okay. Good workout but the instructor seemed rushed and didn't explain the moves clearly.",0.5,2024-01-16 11:00:00,205,1005,302
6,106,class_review,5,"Incredible boxing session! Coach Alex is the best. Great technique instruction and amazing workout. Highly recommend!",0.9,2024-01-16 15:30:00,206,1006,304
7,107,class_review,1,"Terrible experience. The Zumba class was disorganized and the instructor was late. Waste of my time and money.",0.1,2024-01-17 10:00:00,207,1007,305
8,108,class_review,4,"Good functional training class. Challenging exercises and great variety. The coach was encouraging throughout.",0.7,2024-01-17 13:45:00,208,1008,301
9,109,class_review,5,"Love the barre class! Such a great workout for toning. The instructor is very knowledgeable and supportive.",0.9,2024-01-17 16:20:00,209,1009,302
10,110,class_review,2,"The cardio kickboxing was too intense and not beginner-friendly. I felt overwhelmed and left early.",0.3,2024-01-18 09:30:00,210,1010,304
11,101,class_review,4,"Another great HIIT session! Love the variety of exercises and the energy in the room.",0.7,2024-01-18 11:15:00,201,1011,301
12,102,class_review,5,"Perfect yoga flow today. Really helped me destress after a long day at work.",0.9,2024-01-18 14:00:00,202,1012,302
13,103,class_review,3,"The strength class was better today but still too advanced. Need more beginner options.",0.5,2024-01-19 10:00:00,203,1013,301
14,104,class_review,5,"Spin class was fantastic again! The playlist was amazing and the workout was perfectly challenging.",0.9,2024-01-19 12:30:00,204,1014,303
15,105,class_review,4,"Much better Pilates session today. The instructor took time to explain each movement properly.",0.7,2024-01-19 15:00:00,205,1015,302
16,106,class_review,5,"Boxing class was incredible! Great cardio workout and technique practice.",0.9,2024-01-20 09:00:00,206,1016,304
17,107,class_review,2,"Zumba was better today but still not great. The instructor seemed more organized though.",0.3,2024-01-20 11:30:00,207,1017,305
18,108,class_review,4,"Excellent functional training! Really felt the burn and the coach was motivating.",0.7,2024-01-20 14:15:00,208,1018,301
19,109,class_review,5,"Barre class was perfect as always. Love the small class size and personal attention.",0.9,2024-01-20 16:45:00,209,1019,302
20,110,class_review,3,"Cardio kickboxing was more manageable today. Still challenging but I could keep up better.",0.5,2024-01-21 10:00:00,210,1020,304
